"逆14ペンタクル"
"逆13ペンタクル"
"逆12ペンタクル"
"逆11ペンタクル"
"逆10ペンタクル"
"逆9ペンタクル"
"逆8ペンタクル"
"逆7ペンタクル"
"逆6ペンタクル"
"逆5ペンタクル"
"逆4ペンタクル"
"逆3ペンタクル"
"逆2ペンタクル"
"逆1ペンタクル"
"逆14カップ"
"逆13カップ"
"逆12カップ"
"逆11カップ"
"逆10カップ"
"逆9カップ"
"逆8カップ"
"逆7カップ"
"逆6カップ"
"逆5カップ"
"逆4カップ"
"逆3カップ"
"逆2カップ"
"逆1カップ"
"逆14ソード"
"逆13ソード"
"逆12ソード"
"逆11ソード"
"逆10ソード"
"逆9ソード"
"逆8ソード"
"逆7ソード"
"逆6ソード"
"逆5ソード"
"逆4ソード"
"逆3ソード"
"逆2ソード"
"逆1ソード"
"逆14ワンド"
"逆13ワンド"
"逆12ワンド"
"逆11ワンド"
"逆10ワンド"
"逆9ワンド"
"逆8ワンド"
"逆7ワンド"
"逆6ワンド"
"逆5ワンド"
"逆4ワンド"
"逆3ワンド"
"逆2ワンド"
"逆1ワンド"
"21世界（World）"
"20審判（Judgement）"
"19太陽（Sun）"
"18月（Moon）"
"17星（Star）"
"16塔（Tower）"
"15悪魔（Devil）"
"14節制（Temperance）"
"13死神（Death）"
"12吊られた男（Hanged"
"11力（Strength）"
"10運命の輪（Fortune）"
"9隠者（Hermit）"
"8正義（Justice）"
"7戦車（Chariot）"
"6恋人（Lovers）"
"5教皇（法王）（Hierophant）"
"4皇帝（Emperor）"
"3女帝（Empress）"
"2女教皇（Priestess）"
"1魔術師（Magician）"
"0愚者（Fool)"
""
"0愚者（Fool)"
"1魔術師（Magician）"
"2女教皇（Priestess）"
"3女帝（Empress）"
"4皇帝（Emperor）"
"5教皇（法王）（Hierophant）"
"6恋人（Lovers）"
"7戦車（Chariot）"
"8正義（Justice）"
"9隠者（Hermit）"
"10運命の輪（Fortune）"
"11力（Strength）"
"12吊られた男（Hanged"
"13死神（Death）"
"14節制（Temperance）"
"15悪魔（Devil）"
"16塔（Tower）"
"17星（Star）"
"18月（Moon）"
"19太陽（Sun）"
"20審判（Judgement）"
"21世界（World）"
"1ワンド"
"2ワンド"
"3ワンド"
"4ワンド"
"5ワンド"
"6ワンド"
"7ワンド"
"8ワンド"
"9ワンド"
"10ワンド"
"11ワンド"
"12ワンド"
"13ワンド"
"14ワンド"
"1ソード"
"2ソード"
"3ソード"
"4ソード"
"5ソード"
"6ソード"
"7ソード"
"8ソード"
"9ソード"
"10ソード"
"11ソード"
"12ソード"
"13ソード"
"14ソード"
"1カップ"
"2カップ"
"3カップ"
"4カップ"
"5カップ"
"6カップ"
"7カップ"
"8カップ"
"9カップ"
"10カップ"
"11カップ"
"12カップ"
"13カップ"
"14カップ"
"1ペンタクル"
"2ペンタクル"
"3ペンタクル"
"4ペンタクル"
"5ペンタクル"
"6ペンタクル"
"7ペンタクル"
"8ペンタクル"
"9ペンタクル"
"10ペンタクル"
"11ペンタクル"
"12ペンタクル"
"13ペンタクル"
"14ペンタクル"
"test"
